,group1,group2,Diff,Lower,Upper,q-value,p-value,df_num,dv_num,iv,ds_name,dv_name
146,53.0,7.0,2.9837000000000002,-5.063129541668648,11.030529541668649,2.1488089818297174,0.9,1,1,breed_n,df,wt_kg
147,53.0,43.0,0.21201428571428504,-2.07280850734321,2.49683707877178,0.5377495560023495,0.9,1,1,breed_n,df,wt_kg
148,53.0,6.0,1.431684615384615,-0.928965704384352,3.792334935153582,3.5146586811556233,0.9,1,1,breed_n,df,wt_kg
149,53.0,1.0,5.7163,-0.001766512956663746,11.434366512956665,5.7933967095391266,0.05023487248229186,1,1,breed_n,df,wt_kg
150,53.0,34.0,3.2037999999999993,-0.8789312100552182,7.286531210055217,4.5475979946645415,0.528251042206333,1,1,breed_n,df,wt_kg
151,53.0,18.0,3.682966666666667,-1.0086454554691153,8.374578788802449,4.549285015119359,0.5274100632388614,1,1,breed_n,df,wt_kg
152,53.0,17.0,3.9162999999999997,-4.130529541668649,11.963129541668648,2.820451324040527,0.9,1,1,breed_n,df,wt_kg
153,53.0,9.0,4.0496333333333325,-0.64197878880245,8.741245455469116,5.002200103194306,0.2761877862061374,1,1,breed_n,df,wt_kg
154,53.0,14.0,0.8163,-7.230529541668648,8.863129541668648,0.5878850996640407,0.9,1,1,breed_n,df,wt_kg
155,53.0,42.0,1.9613923076923077,-0.39925801207665934,4.322042627461275,4.815044058799704,0.3783733424238749,1,1,breed_n,df,wt_kg
156,53.0,56.0,1.4937000000000005,-2.175520084834303,5.162920084834304,2.359158266088148,0.9,1,1,breed_n,df,wt_kg
157,53.0,2.0,3.7163000000000004,-4.330529541668648,11.763129541668649,2.676414793435593,0.9,1,1,breed_n,df,wt_kg
158,53.0,26.0,0.6162999999999998,-4.075312122135783,5.307912122135782,0.7612679148561557,0.9,1,1,breed_n,df,wt_kg
159,53.0,51.0,0.616299999999999,-5.101766512956665,6.334366512956663,0.6246121428352182,0.9,1,1,breed_n,df,wt_kg
160,53.0,3.0,4.4163,-1.3017665129566645,10.134366512956664,4.4758633886146,0.5639941454735178,1,1,breed_n,df,wt_kg
161,53.0,54.0,0.4837000000000007,-7.563129541668648,8.530529541668649,0.3483523492680349,0.9,1,1,breed_n,df,wt_kg
162,53.0,25.0,5.2163,0.5246878778642179,9.907912122135784,6.44329356525096,0.008239535547434618,1,1,breed_n,df,wt_kg
163,53.0,24.0,3.6862999999999992,-4.360529541668649,11.733129541668648,2.654809313844852,0.9,1,1,breed_n,df,wt_kg
164,53.0,63.0,4.0837,-3.963129541668648,12.130529541668649,2.941009900156858,0.9,1,1,breed_n,df,wt_kg
165,53.0,30.0,0.38370000000000015,-3.285520084834303,4.052920084834303,0.6060179598969153,0.9,1,1,breed_n,df,wt_kg
166,53.0,13.0,2.4837000000000002,-5.563129541668648,10.530529541668649,1.788717655317381,0.9,1,1,breed_n,df,wt_kg
167,53.0,29.0,1.3837000000000002,-6.663129541668648,9.430529541668648,0.9965167369902403,0.9,1,1,breed_n,df,wt_kg
168,53.0,36.0,0.9162999999999997,-7.130529541668649,8.963129541668648,0.6599033649665078,0.9,1,1,breed_n,df,wt_kg
169,53.0,57.0,0.06630000000000003,-7.980529541668648,8.113129541668648,0.04774810989553585,0.9,1,1,breed_n,df,wt_kg
170,53.0,8.0,3.1337,-4.913129541668648,11.180529541668648,2.2568363797834183,0.9,1,1,breed_n,df,wt_kg
171,53.0,41.0,0.9996333333333327,-3.69197878880245,5.691245455469115,1.2347700523890555,0.9,1,1,breed_n,df,wt_kg
172,53.0,4.0,0.6237000000000004,-7.423129541668648,8.67052954166865,0.4491779206914889,0.9,1,1,breed_n,df,wt_kg
173,53.0,23.0,1.366299999999999,-4.351766512956665,7.084366512956663,1.3847275202916751,0.9,1,1,breed_n,df,wt_kg
174,53.0,37.0,0.8837000000000002,-7.163129541668648,8.930529541668648,0.6364254104779038,0.9,1,1,breed_n,df,wt_kg
175,53.0,50.0,6.616299999999999,-1.4305295416686494,14.663129541668647,4.764944487207144,0.4095969550657781,1,1,breed_n,df,wt_kg
176,53.0,60.0,5.516299999999999,-2.530529541668649,13.563129541668648,3.972743568880004,0.8146804516772039,1,1,breed_n,df,wt_kg
177,53.0,32.0,6.7163,-1.330529541668648,14.763129541668649,4.836962752509613,0.3647844182568398,1,1,breed_n,df,wt_kg
178,35.0,61.0,0.2663208797032319,-0.8202437638388644,1.3528855232453283,1.4204210690787338,0.9,1,1,breed_n,df,wt_kg
179,35.0,16.0,0.32287725225225206,-1.1610327135816225,1.8067872180861266,1.2609485166547174,0.9,1,1,breed_n,df,wt_kg
180,35.0,40.0,2.280081081081082,-0.41758317696937963,4.977745339131543,4.898124853559137,0.32825700689476967,1,1,breed_n,df,wt_kg
181,35.0,58.0,0.29792318634424,-1.3000352094827652,1.8958815821712451,1.0804540313672357,0.9,1,1,breed_n,df,wt_kg
182,35.0,38.0,2.399904610492847,1.2432906018799221,3.5565186191057725,12.024665109544843,0.001,1,1,breed_n,df,wt_kg
183,35.0,22.0,3.1785810810810804,-0.931643579078679,7.288805741240839,4.4816216714071615,0.5611252908812809,1,1,breed_n,df,wt_kg
184,35.0,11.0,0.23891891891891825,-4.4766379864739,4.9544758243117375,0.2936195771064499,0.9,1,1,breed_n,df,wt_kg
185,35.0,39.0,1.001081081081081,-2.6987065688223466,4.700868730984508,1.5680500244348696,0.9,1,1,breed_n,df,wt_kg
186,35.0,47.0,4.816855728968406,3.486698185760498,6.147013272176314,20.985920106957607,0.001,1,1,breed_n,df,wt_kg
187,35.0,5.0,6.657747747747749,3.2590102489148465,10.056485246580651,11.352125172428023,0.001,1,1,breed_n,df,wt_kg
188,35.0,21.0,6.741081081081083,-1.319732667920798,14.801894830082963,4.846387348149933,0.3590017898996912,1,1,breed_n,df,wt_kg
189,35.0,20.0,2.0294681778552754,0.31644966097385896,3.7424866947366917,6.8657446386229095,0.0021549313295570194,1,1,breed_n,df,wt_kg
190,35.0,33.0,5.5410810810810815,-0.1966481971284484,11.278810359290611,5.596569610490359,0.08228100222599866,1,1,breed_n,df,wt_kg
191,35.0,46.0,2.7610810810810817,-0.9387065688223459,6.46086873098451,4.32483775637868,0.6392460958321373,1,1,breed_n,df,wt_kg
192,35.0,19.0,6.169652509652511,3.0034277238460643,9.335877295458959,11.292404276971858,0.001,1,1,breed_n,df,wt_kg
193,35.0,10.0,5.981081081081081,-2.0797326679207995,14.041894830082962,4.299998076118915,0.6516213582276573,1,1,breed_n,df,wt_kg
194,35.0,55.0,3.542619542619543,1.1347319713962105,5.950507113842875,8.5262049332671,0.001,1,1,breed_n,df,wt_kg
195,35.0,28.0,5.741081081081083,-2.319732667920798,13.801894830082963,4.127454095477543,0.7375956903184184,1,1,breed_n,df,wt_kg
196,35.0,45.0,0.09108108108108137,-2.60658317696938,2.788745339131543,0.195662562456223,0.9,1,1,breed_n,df,wt_kg
197,35.0,49.0,2.6328721258572014,1.2826027751892726,3.9831414765251303,11.299957622987241,0.001,1,1,breed_n,df,wt_kg
198,35.0,59.0,3.091081081081082,0.3934168230306203,5.788745339131543,6.640334500925269,0.0044750866764667885,1,1,breed_n,df,wt_kg
199,35.0,31.0,2.858938223938224,0.5253427536174735,5.192533694258975,7.099808847085551,0.001,1,1,breed_n,df,wt_kg
200,35.0,52.0,1.6785810810810813,-2.431643579078678,5.788805741240841,2.366705507360673,0.9,1,1,breed_n,df,wt_kg
201,35.0,48.0,1.7160810810810818,-4.021648197128448,7.453810359290612,1.7332659614578358,0.9,1,1,breed_n,df,wt_kg
202,35.0,65.0,4.941081081081082,-3.1197326679207986,13.001894830082962,3.552307493339631,0.9,1,1,breed_n,df,wt_kg
203,35.0,7.0,0.9589189189189185,-7.101894830082962,9.019732667920799,0.6893986974274697,0.9,1,1,breed_n,df,wt_kg
